电影名,年份,地区,剧情类型,导演,主演,评分,评论人数,简介
英雄本色,1986 , 香港 , 剧情 动作 犯罪, 李安 Ang Lee   ,周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,8.6,274316人评价,英雄泪短，兄弟情长。
真爱至上,2003 , 英国 美国 法国 , 喜剧 剧情 爱情, 吴宇森 John Woo   ,休·格兰特 Hugh Grant / 柯林...,8.6,428514人评价,爱，是个动词。
东邪西毒,1994 , 香港 台湾 , 剧情 动作 爱情 武侠 古装, 理查德·柯蒂斯 Richard Curtis   ,张国荣 Leslie Cheung / 林青霞 Brigitte...,8.6,360145人评价,电影诗。
萤火虫之墓,1988 , 日本 , 动画 剧情 战争, 王家卫 Kar Wai Wong   ,辰己努 / 白石绫乃 / 志乃原良子,8.7,270593人评价,幸福是生生不息，却难以触及的远。
傲慢与偏见,2005 , 法国 英国 美国 , 剧情 爱情, 高畑勋 Isao Takahata   ,凯拉·奈特莉 Keira Knightley / 马修·...,8.5,426994人评价,爱是摈弃傲慢与偏见之后的曙光。
贫民窟的百万富翁,2008 , 英国 美国 , 剧情 爱情, 乔·怀特 Joe Wright   ,戴夫...,8.6,496037人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
时空恋旅人,2013 , 英国 , 喜剧 爱情 奇幻, 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   ,多姆纳尔·格里森 Domhnall Gl...,8.7,300639人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
黑天鹅,2010 , 美国 , 剧情 惊悚, 理查德·柯蒂斯 Richard Curtis   ,娜塔莉·波特曼 Natalie...,8.5,546596人评价,黑暗之美。
记忆碎片,2000 , 美国 , 犯罪 剧情 悬疑 惊悚, 克里斯托弗·诺兰 Christopher Nolan   ,盖·皮尔斯 Guy Pearce /...,8.6,371520人评价,一个针管引发的血案。
心迷宫,2014 , 中国大陆 , 剧情 犯罪 悬疑, 忻钰坤 Yukun Xin   ,霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,8.7,272370人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
纵横四海,1991 , 香港 , 剧情 喜剧 动作 犯罪, 吴宇森 John Woo   ,周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,8.8,224788人评价,香港浪漫主义警匪动作片的巅峰之作。
教父3,1990 , 美国 , 剧情 犯罪, 弗朗西斯·福特·科波拉 Francis Ford Coppola   ,阿尔·帕西诺 A...,8.8,190401人评价,任何信念的力量，都无法改变命运。
荒蛮故事,2014 , 阿根廷 西班牙 , 剧情 喜剧 犯罪, 达米安·斯兹弗隆 Damián Szifron   ,达里奥·葛兰帝内提 Darío...,8.8,221709人评价,始于荒诞，止于更荒诞。
完美的世界,1993 , 美国 , 剧情 犯罪, 克林特·伊斯特伍德 Clint Eastwood   ,凯文·科斯特纳 Kevin Cos...,9.1,121956人评价,坏人的好总是比好人的好来得更感人。
我不是药神,2018 , 中国大陆 , 剧情 喜剧, 文牧野 Muye Wen   ,徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,9.0,1169878人评价,Jared Leto的腿比女人还美！
达拉斯买家俱乐部,2013 , 美国 , 剧情 传记 同性, 让-马克·瓦雷 Jean-Marc Vallée   ,马修·麦康纳 Matthew McCon...,8.7,263127人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
雨人,1988 , 美国 , 剧情, 巴瑞·莱文森 Barry Levinson   ,达斯汀·霍夫曼 Dustin Hoffman ...,8.7,266360人评价,偷情本没有这样美。
花样年华,2000 , 香港 , 剧情 爱情, 王家卫 Kar Wai Wong   ,梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,8.6,335415人评价,怼天怼地，你走后，她与世界为敌。
三块广告牌,2017 , 美国 英国 , 剧情 犯罪, 马丁·麦克唐纳 Martin McDonagh   ,弗兰西斯·麦克多蒙德 France...,8.7,490130人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。
被解救的姜戈,2012 , 美国 , 剧情 动作 西部 冒险, 昆汀·塔伦蒂诺 Quentin Tarantino   ,杰米·福克斯 Jamie Foxx /...,8.7,355281人评价,当这个世界闭上双眼，他却敞开了怀抱。
卢旺达饭店,2004 , 英国 南非 意大利 美国 , 剧情 历史 战争, 特瑞·乔治 Terry George   ,唐·钱德尔 Don Cheadle / 苏菲·奥...,8.9,160641人评价,我们都有权利不与自己的过去和解。
海边的曼彻斯特,2016 , 美国 , 剧情 家庭, 肯尼斯·罗纳根 Kenneth Lonergan   ,卡西·阿弗莱克 Casey Affle...,8.6,292984人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
你的名字。,2016 , 日本 , 剧情 爱情 动画, 新海诚 Makoto Shinkai   ,神木隆之介 Ryûnosuke Kamiki / 上...,8.4,749461人评价,愿我们都不用长大，每一座城堡都能永远存在。
头脑特工队,2015 , 美国 , 喜剧 动画 冒险, 彼特·道格特 Pete Docter ,无介绍...,8.7,337288人评价,感情不分食草或者食肉。
你看起来好像很好吃,2010 , 日本 , 剧情 动画 儿童, 藤森雅也 Masaya Fujimori   ,山口胜平 Kappei Yamaguchi / 爱河...,8.8,200998人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
恋恋笔记本,2004 , 美国 , 剧情 爱情, 尼克·卡索维茨 Nick Cassavetes   ,瑞恩·高斯林 Ryan Gosling /...,8.5,383157人评价,爱并不需要智商 。
我是山姆,2001 , 美国 , 剧情 家庭, 杰茜·尼尔森 Jessie Nelson   ,Sean Penn / Dakota Fanning / Mi...,8.9,153260人评价,迪士尼和皮克斯拿错剧本的产物。
