电影名,年份,地区,剧情类型,导演,主演,评分,评论人数,简介
勇闯夺命岛,1996 , 美国 , 动作 冒险, 迈克尔·贝 Michael Bay   ,肖恩·康纳利 Sean Connery / 尼古拉...,8.6,181282人评价,类型片的极致。
国王的演讲,2010 , 英国 澳大利亚 美国 , 剧情 传记 历史, 汤姆·霍珀 Tom Hooper   ,柯林·菲尔斯 Colin Firth / 杰弗里·...,8.4,433931人评价,皇上无话儿。
黄金三镖客,1966 , 意大利 西班牙 西德 , 冒险 西部, Sergio Leone   ,Clint Eastwood / Eli Wallach / Lee Van Cleef,9.1,70673人评价,最棒的西部片。
我爱你,2011 , 韩国 , 剧情 爱情, 秋昌民 Chang-min Choo   ,宋在河 Jae-ho Song / 李顺载 Soon-jae...,9.0,84040人评价,你要相信，这世上真的有爱存在，不管在什么年纪
千钧一发,1997 , 美国 , 剧情 科幻 惊悚, 安德鲁·尼科尔 Andrew Niccol   ,伊桑·霍克 Ethan Hawke / 乌玛...,8.7,130110人评价,一部能引人思考的科幻励志片。
非常嫌疑犯,1995 , 德国 美国 , 剧情 犯罪 悬疑 惊悚, 布莱恩·辛格 Bryan Singer   ,史蒂芬·鲍德温 Stephen Baldwin /...,8.6,162312人评价,我不信仰上帝，但我敬畏上帝。
秒速5厘米,2007 , 日本 , 动画 剧情 爱情, 新海诚 Makoto Shinkai   ,水桥研二 Kenji Mizuhashi / 近藤好美 ...,8.3,409944人评价,青春就是放弃和怀念。
卡萨布兰卡,1942 , 美国 , 剧情 爱情 战争, 迈克尔·柯蒂兹 Michael Curtiz   ,亨弗莱·鲍嘉 Humphrey Bogart...,8.6,159711人评价,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。
驴得水,2016 , 中国大陆 , 剧情 喜剧, 周申 Shen Zhou / 刘露 Lu Liu   ,任素汐 Suxi Ren / 大力 Da Li ...,8.3,498198人评价,过去的如果就让它过去了，未来只会越来越糟！
四个春天,2017 , 中国大陆 , 纪录片 家庭, 陆庆屹 Lu Qing Yi   ,陆运坤 Yunkun Lu / 李桂贤 Guixian Li / ...,8.9,86363人评价,来也匆匆去也匆匆，就这样风雨兼程。
